file_list,flags,temporal_coordinates,spatial_coordinates,metadata
['SNAP-143720-0135.jpg'],1,[],"[3.0, 874, 617, 10.113]",{}
['SNAP-143720-0135.jpg'],1,[],"[3.0, 1142, 203, 8.376]",{}
['SNAP-144123-0143.jpg'],1,[],"[3.0, 1116, 308, 9]",{}
['SNAP-144123-0143.jpg'],1,[],"[3.0, 1263, 425, 9]",{}
['SNAP-144138-0144.jpg'],1,[],"[3.0, 827, 470, 6.105]",{}
['SNAP-144239-0147.jpg'],1,[],"[3.0, 295, 958, 6.98]",{}
['SNAP-150248-0149.jpg'],1,[],"[3.0, 933, 660, 6]",{}
['SNAP-150248-0149.jpg'],1,[],"[3.0, 546, 492, 6.151]",{}
['SNAP-150318-0150.jpg'],1,[],"[3.0, 163, 620, 6.475]",{}
['SNAP-150318-0150.jpg'],1,[],"[3.0, 676, 760, 6]",{}
['SNAP-150338-0151.jpg'],1,[],"[3.0, 472, 478, 6.068]",{}
['SNAP-150338-0151.jpg'],1,[],"[3.0, 699, 373, 6]",{}
['SNAP-150444-0152.jpg'],1,[],"[3.0, 864, 497, 5.056]",{}
['SNAP-150444-0152.jpg'],1,[],"[3.0, 677, 359, 6]",{}
['SNAP-150618-0154.jpg'],1,[],"[3.0, 743, 492, 6]",{}
['SNAP-150618-0154.jpg'],1,[],"[3.0, 382, 794, 3.034]",{}
['SNAP-150618-0154.jpg'],1,[],"[3.0, 725, 345, 6]",{}
['SNAP-150618-0154.jpg'],1,[],"[3.0, 649, 896, 3.646]",{}
['SNAP-150752-0155.jpg'],1,[],"[3.0, 1206, 149, 6]",{}
['SNAP-150752-0155.jpg'],1,[],"[3.0, 970, 432, 5.721]",{}
['SNAP-133102-0007.jpg'],1,[],"[3.0, 726, 489, 11.044]",{}
['SNAP-133137-0009.jpg'],1,[],"[3.0, 784, 485, 7.749]",{}
['SNAP-133150-0010.jpg'],1,[],"[3.0, 548, 474, 8.771]",{}
['SNAP-133150-0010.jpg'],1,[],"[3.0, 696, 337, 9.686]",{}
['SNAP-133150-0010.jpg'],1,[],"[3.0, 1013, 764, 12]",{}
['SNAP-133206-0012.jpg'],1,[],"[3.0, 872, 189, 11]",{}
['SNAP-133206-0012.jpg'],1,[],"[3.0, 1197, 148, 15]",{}
['SNAP-133219-0013.jpg'],1,[],"[3.0, 856, 257, 13]",{}
['SNAP-133219-0013.jpg'],1,[],"[3.0, 938, 598, 12.252]",{}
['SNAP-133219-0013.jpg'],1,[],"[3.0, 646, 803, 16.665]",{}
['SNAP-133219-0013.jpg'],1,[],"[3.0, 11, 612, 11]",{}
['SNAP-133219-0013.jpg'],1,[],"[3.0, 879, 853, 6.604]",{}
['SNAP-133228-0014.jpg'],1,[],"[3.0, 162, 553, 9]",{}
['SNAP-133228-0014.jpg'],1,[],"[3.0, 461, 595, 8]",{}
['SNAP-133228-0014.jpg'],1,[],"[3.0, 802, 585, 11]",{}
['SNAP-133228-0014.jpg'],1,[],"[3.0, 960, 841, 6.265]",{}
['SNAP-133228-0014.jpg'],1,[],"[3.0, 1043, 884, 7]",{}
['SNAP-133239-0015.jpg'],1,[],"[3.0, 580, 174, 8]",{}
['SNAP-133239-0015.jpg'],1,[],"[3.0, 574, 211, 11]",{}
['SNAP-133239-0015.jpg'],1,[],"[3.0, 667, 546, 11]",{}
['SNAP-133239-0015.jpg'],1,[],"[3.0, 1145, 265, 13]",{}
['SNAP-133251-0016.jpg'],1,[],"[3.0, 171, 102, 15]",{}
['SNAP-133251-0016.jpg'],1,[],"[3.0, 544, 420, 8]",{}
['SNAP-133251-0016.jpg'],1,[],"[3.0, 1010, 208, 5]",{}
['SNAP-133301-0017.jpg'],1,[],"[3.0, 1021, 82, 7.529]",{}
['SNAP-133301-0017.jpg'],1,[],"[3.0, 819, 845, 8]",{}
['SNAP-133301-0017.jpg'],1,[],"[3.0, 1243, 860, 6]",{}
['SNAP-133313-0018.jpg'],1,[],"[3.0, 415, 937, 11]",{}
['SNAP-133313-0018.jpg'],1,[],"[3.0, 1046, 793, 10]",{}
['SNAP-133313-0018.jpg'],1,[],"[3.0, 1143, 588, 10.315]",{}
['SNAP-133324-0019.jpg'],1,[],"[3.0, 315, 591, 8]",{}
['SNAP-133324-0019.jpg'],1,[],"[3.0, 759, 427, 6.849]",{}
['SNAP-133324-0019.jpg'],1,[],"[3.0, 857, 472, 8.86]",{}
['SNAP-133324-0019.jpg'],1,[],"[3.0, 1018, 777, 11]",{}
['SNAP-133324-0019.jpg'],1,[],"[3.0, 1149, 722, 8.61]",{}
['SNAP-133343-0020.jpg'],1,[],"[3.0, 970, 297, 11]",{}
['SNAP-133343-0020.jpg'],1,[],"[3.0, 756, 638, 9]",{}
['SNAP-133343-0020.jpg'],1,[],"[3.0, 1166, 607, 9.878]",{}
['SNAP-133343-0020.jpg'],1,[],"[3.0, 1120, 635, 11]",{}
['SNAP-133355-0021.jpg'],1,[],"[3.0, 805, 424, 11]",{}
['SNAP-133355-0021.jpg'],1,[],"[3.0, 927, 370, 4.67]",{}
['SNAP-133447-0022.jpg'],1,[],"[3.0, 576, 689, 10]",{}
['SNAP-133447-0022.jpg'],1,[],"[3.0, 686, 760, 10]",{}
['SNAP-133447-0022.jpg'],1,[],"[3.0, 793, 719, 10]",{}
['SNAP-133459-0023.jpg'],1,[],"[3.0, 458, 350, 10]",{}
['SNAP-133522-0024.jpg'],1,[],"[3.0, 360, 155, 11]",{}
['SNAP-133522-0024.jpg'],1,[],"[3.0, 587, 278, 9]",{}
['SNAP-133522-0024.jpg'],1,[],"[3.0, 554, 41, 10]",{}
['SNAP-133522-0024.jpg'],1,[],"[3.0, 832, 767, 9.524]",{}
['SNAP-133522-0024.jpg'],1,[],"[3.0, 1086, 610, 13.469]",{}
['SNAP-133522-0024.jpg'],1,[],"[3.0, 1167, 152, 8.61]",{}
['SNAP-133533-0025.jpg'],1,[],"[3.0, 438, 434, 15]",{}
['SNAP-133533-0025.jpg'],1,[],"[3.0, 1015, 260, 10.315]",{}
['SNAP-133549-0026.jpg'],1,[],"[3.0, 1192, 164, 13]",{}
['SNAP-133602-0027.jpg'],1,[],"[3.0, 50, 482, 13.561]",{}
['SNAP-133602-0027.jpg'],1,[],"[3.0, 293, 364, 18]",{}
['SNAP-133602-0027.jpg'],1,[],"[3.0, 733, 328, 9.878]",{}
['SNAP-133602-0027.jpg'],1,[],"[3.0, 559, 38, 9.686]",{}
['SNAP-133613-0028.jpg'],1,[],"[3.0, 238, 63, 7]",{}
['SNAP-133613-0028.jpg'],1,[],"[3.0, 233, 446, 10]",{}
['SNAP-133613-0028.jpg'],1,[],"[3.0, 600, 642, 13]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 103, 544, 10]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 638, 519, 11]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 713, 227, 8]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 855, 40, 7.294]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 213, 765, 11]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 772, 954, 8]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 1045, 717, 15]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 1137, 509, 11.96]",{}
['SNAP-133626-0029.jpg'],1,[],"[3.0, 1105, 113, 8]",{}
['SNAP-133637-0030.jpg'],1,[],"[3.0, 142, 776, 11]",{}
['SNAP-133637-0030.jpg'],1,[],"[3.0, 599, 103, 10]",{}
['SNAP-133657-0031.jpg'],1,[],"[3.0, 136, 71, 9]",{}
['SNAP-133657-0031.jpg'],1,[],"[3.0, 597, 618, 9]",{}
['SNAP-133716-0032.jpg'],1,[],"[3.0, 64, 627, 13]",{}
['SNAP-133716-0032.jpg'],1,[],"[3.0, 999, 261, 11]",{}
['SNAP-133732-0033.jpg'],1,[],"[3.0, 314, 385, 10]",{}
['SNAP-133732-0033.jpg'],1,[],"[3.0, 741, 49, 9]",{}
['SNAP-133732-0033.jpg'],1,[],"[3.0, 829, 1015, 16]",{}
['SNAP-133748-0034.jpg'],1,[],"[3.0, 729, 128, 17]",{}
['SNAP-133757-0035.jpg'],1,[],"[3.0, 1133, 278, 13]",{}
['SNAP-133816-0036.jpg'],1,[],"[3.0, 667, 160, 11]",{}
['SNAP-133816-0036.jpg'],1,[],"[3.0, 846, 312, 10]",{}
['SNAP-133816-0036.jpg'],1,[],"[3.0, 85, 41, 10]",{}
['SNAP-133826-0037.jpg'],1,[],"[3.0, 406, 387, 13]",{}
['SNAP-133826-0037.jpg'],1,[],"[3.0, 714, 17, 9.198]",{}
['SNAP-133826-0037.jpg'],1,[],"[3.0, 1226, 895, 13]",{}
['SNAP-133837-0038.jpg'],1,[],"[3.0, 1053, 662, 18]",{}
['SNAP-133837-0038.jpg'],1,[],"[3.0, 1149, 160, 13]",{}
['SNAP-133837-0038.jpg'],1,[],"[3.0, 237, 618, 11]",{}
['SNAP-133855-0039.jpg'],1,[],"[3.0, 275, 763, 15]",{}
['SNAP-133855-0039.jpg'],1,[],"[3.0, 521, 957, 16]",{}
['SNAP-133855-0039.jpg'],1,[],"[3.0, 1226, 119, 11]",{}
['SNAP-133855-0039.jpg'],1,[],"[3.0, 1014, 230, 9.397]",{}
['SNAP-133855-0039.jpg'],1,[],"[3.0, 855, 7, 10]",{}
['SNAP-133907-0040.jpg'],1,[],"[3.0, 941, 287, 9]",{}
['SNAP-133907-0040.jpg'],1,[],"[3.0, 552, 338, 9]",{}
['SNAP-133907-0040.jpg'],1,[],"[3.0, 1115, 629, 14]",{}
['SNAP-133907-0040.jpg'],1,[],"[3.0, 574, 946, 8]",{}
['SNAP-134242-0041.jpg'],1,[],"[3.0, 632, 288, 6.985]",{}
['SNAP-134242-0041.jpg'],1,[],"[3.0, 752, 104, 13]",{}
['SNAP-134242-0041.jpg'],1,[],"[3.0, 544, 577, 15]",{}
['SNAP-134257-0042.jpg'],1,[],"[3.0, 621, 949, 8]",{}
['SNAP-134257-0042.jpg'],1,[],"[3.0, 1148, 552, 10]",{}
['SNAP-134257-0042.jpg'],1,[],"[3.0, 1071, 27, 8]",{}
['SNAP-134354-0043.jpg'],1,[],"[3.0, 405, 437, 15]",{}
['SNAP-134354-0043.jpg'],1,[],"[3.0, 536, 207, 8]",{}
['SNAP-134354-0043.jpg'],1,[],"[3.0, 618, 84, 12]",{}
['SNAP-134354-0043.jpg'],1,[],"[3.0, 349, 126, 15]",{}
['SNAP-134354-0043.jpg'],1,[],"[3.0, 112, 100, 8]",{}
['SNAP-134354-0043.jpg'],1,[],"[3.0, 311, 879, 13]",{}
['SNAP-134354-0043.jpg'],1,[],"[3.0, 871, 755, 15]",{}
['SNAP-134410-0044.jpg'],1,[],"[3.0, 560, 18, 15]",{}
['SNAP-134410-0044.jpg'],1,[],"[3.0, 21, 736, 16]",{}
['SNAP-134425-0045.jpg'],1,[],"[3.0, 259, 842, 16]",{}
['SNAP-134425-0045.jpg'],1,[],"[3.0, 647, 234, 14]",{}
['SNAP-134425-0045.jpg'],1,[],"[3.0, 812, 522, 10]",{}
['SNAP-134436-0046.jpg'],1,[],"[3.0, 447, 390, 11]",{}
['SNAP-134436-0046.jpg'],1,[],"[3.0, 755, 612, 20]",{}
['SNAP-134452-0047.jpg'],1,[],"[3.0, 544, 466, 19]",{}
['SNAP-134452-0047.jpg'],1,[],"[3.0, 1096, 363, 13]",{}
['SNAP-134452-0047.jpg'],1,[],"[3.0, 1237, 34, 9]",{}
['SNAP-134452-0047.jpg'],1,[],"[3.0, 174, 860, 12]",{}
['SNAP-134504-0048.jpg'],1,[],"[3.0, 166, 114, 8]",{}
['SNAP-134531-0049.jpg'],1,[],"[3.0, 828, 92, 14]",{}
['SNAP-134531-0049.jpg'],1,[],"[3.0, 741, 141, 14]",{}
['SNAP-134543-0050.jpg'],1,[],"[3.0, 719, 348, 14]",{}
['SNAP-134543-0050.jpg'],1,[],"[3.0, 373, 234, 13]",{}
['SNAP-134543-0050.jpg'],1,[],"[3.0, 1082, 204, 8.333]",{}
['SNAP-134555-0051.jpg'],1,[],"[3.0, 689, 144, 10]",{}
['SNAP-134555-0051.jpg'],1,[],"[3.0, 511, 177, 10]",{}
['SNAP-134555-0051.jpg'],1,[],"[3.0, 1242, 856, 8]",{}
['SNAP-134605-0052.jpg'],1,[],"[3.0, 525, 352, 14]",{}
['SNAP-134605-0052.jpg'],1,[],"[3.0, 505, 549, 14]",{}
['SNAP-134605-0052.jpg'],1,[],"[3.0, 1182, 319, 14]",{}
['SNAP-134631-0053.jpg'],1,[],"[3.0, 356, 295, 10]",{}
['SNAP-134631-0053.jpg'],1,[],"[3.0, 1210, 568, 14]",{}
['SNAP-134652-0054.jpg'],1,[],"[3.0, 95, 503, 13]",{}
